Sample	Tray	Weight
59	22	1.126
60	1	1.094
60	2	1.114
60	3	1.109
60	4	1.118
60	5	1.117
60	6	1.118
60	7	1.125
60	8	1.139
60	9	1.122
60	10	1.099
60	11	1.125
60	12	1.113
60	13	1.130
60	14	1.114
60	15	1.116
60	16	1.112
60	17	1.125
60	18	1.128
60	19	1.109
60	20	1.124
60	21	1.125
60	22	1.125
61	1	1.096
61	2	1.111
61	3	1.105
61	4	1.115
61	5	1.110
61	6	1.111
61	7	1.123
61	8	1.136
61	9	1.114
61	10	1.097
61	11	1.119
61	12	1.109
61	13	1.121
61	14	1.112
61	15	1.113
61	16	1.111
61	17	1.120
61	18	1.125
61	19	1.106
61	20	1.121
61	21	1.120
61	22	1.121
62	1	1.095
62	2	1.116
62	3	1.109
62	4	1.116
62	5	1.116
62	6	1.115
62	7	1.131
62	8	1.137
62	9	1.121
62	10	1.101
62	11	1.122
62	12	1.116
62	13	1.128
62	14	1.114
62	15	1.116
62	16	1.114
62	17	1.130
62	18	1.130
62	19	1.111
62	20	1.126
62	21	1.122
62	22	1.124
63	1	1.094
63	2	1.115
63	3	1.110
63	4	1.117
63	5	1.118
63	6	1.120
63	7	1.132
63	8	1.135
63	9	1.123
63	10	1.103
63	11	1.124
63	12	1.115
63	13	1.130
63	14	1.117
63	15	1.117
63	16	1.120
63	17	1.128
63	18	1.132
63	19	1.111
63	20	1.127
63	21	1.120
63	22	1.125
64	1	1.099
64	2	1.115
64	3	1.110
64	4	1.119
64	5	1.117
64	6	1.117
64	7	1.129
64	8	1.134
64	9	1.122
64	10	1.100
64	11	1.124
64	12	1.114
64	13	1.128
64	14	1.119
64	15	1.120
64	16	1.121
64	17	1.128
64	18	1.130
64	19	1.111
64	20	1.130
64	21	1.120
64	22	1.124
65	1	1.096
65	2	1.116
65	3	1.112
65	4	1.119
65	5	1.116
65	6	1.117
65	7	1.131
65	8	1.142
65	9	1.124
65	10	1.102
65	11	1.124
65	12	1.115
65	13	1.128
65	14	1.119
65	15	1.121
65	16	1.120
65	17	1.131
65	18	1.131
65	19	1.112
65	20	1.125
65	21	1.119
65	22	1.124
66	1	1.095
66	2	1.117
66	3	1.109
66	4	1.119
66	5	1.115
66	6	1.116
66	7	1.129
66	8	1.133
66	9	1.121
66	10	1.101
66	11	1.122
66	12	1.111
66	13	1.128
66	14	1.117
66	15	1.117
66	16	1.118
66	17	1.130
66	18	1.127
66	19	1.112
66	20	1.125
66	21	1.121
66	22	1.124
67	1	1.092
67	2	1.114
67	3	1.108
67	4	1.116
67	5	1.114
67	6	1.118
67	7	1.132
67	8	1.136
67	9	1.117
67	10	1.100
67	11	1.122
67	12	1.113
67	13	1.125
67	14	1.115
67	15	1.116
67	16	1.117
67	17	1.127
67	18	1.127
67	19	1.109
67	20	1.124
67	21	1.118
67	22	1.127
68	1	1.095
68	2	1.117
68	3	1.109
68	4	1.116
68	5	1.115
68	6	1.116
68	7	1.128
68	8	1.138
68	9	1.122
68	10	1.100
68	11	1.125
68	12	1.114
68	13	1.128
68	14	1.117
68	15	1.117
68	16	1.116
68	17	1.128
68	18	1.128
68	19	1.109
68	20	1.126
68	21	1.113
68	22	1.125
69	1	1.095
69	2	1.117
69	3	1.114
69	4	1.119
69	5	1.116
69	6	1.115
69	7	1.128
